text,Marks,topic,Year,Question_ID,section,marks,subject,
"If a line with Z0 = 300 Ω is open circuited at the far end, what is the VSWR?",2,Microwave Theory,2024,93,A,,,
Discuss the features of TEM modes.,2,Microwave Theory,2024,94,A,,,
Define coupling factor.,2,Microwave Theory,2024,95,A,,,
What is the need for impedance matching?,2,Microwave Theory,2024,96,A,,,
Name the different frequency bands used in microwave engineering and their frequency spectra.,2,Microwave Theory,2024,97,A,,,
Determine the cut-off frequency and cut-off wavelength for the TM11 mode in an air-filled waveguide with given dimensions.,2,Microwave Theory,2024,98,A,,,
Why is the magnetron called a cross-field device?,2,Microwave Theory,2024,99,A,,,
List the limitations of conventional microwave tubes.,2,Microwave Theory,2024,100,A,,,
Explain the working of a Gunn diode and discuss its characteristics.,5,Microwave Theory,2024,101,B,,,
Calculate the value of the reflected power given specific parameters of directional couplers and VSWR.,5,Microwave Theory,2024,102,B,,,
Explain the properties of H-plane Tee and why it is called shunt Tee.,5,Microwave Theory,2024,103,B,,,
Explain the working of an RFID system.,5,Microwave Theory,2024,104,B,,,
Discuss the structure and principle of operation of an isolator and circulator.,5,Microwave Theory,2024,105,B,,,
"(a) Discuss the properties of S-parameters for lossless and reciprocal networks. (b) Given S parameters, find symmetry, reciprocity, and insertion loss.",10,Microwave Theory,2024,106,C,,,
"Explain the construction, working, and applications of a Klystron.",10,Microwave Theory,2024,107,C,,,
(a) Discuss noise at microwave frequencies and how it is measured. (b) Write a note on microwave imaging.,10,Microwave Theory,2024,108,C,,,
What is VSB (Vestigial side band)?,2,Analog Communication,2024,109,A,,,
What is Zero crossing detector?,2,Analog Communication,2024,110,A,,,
What do you understand by mixing?,2,Analog Communication,2024,111,A,,,
What is image rejection ratio?,2,Analog Communication,2024,112,A,,,
What is the need for modulation?,2,Analog Communication,2024,113,A,,,
Write basic differences between low-level and high-level modulation.,2,Analog Communication,2024,114,A,,,
Define Modulation Index of FM & AM waves.,2,Analog Communication,2024,115,A,,,
Explain selectivity in AM receiver.,2,Analog Communication,2024,116,A,,,
What are the advantages of using high-frequency carrier for transmission?,2,Analog Communication,2024,117,A,,,
What is pre-emphasis and de-emphasis?,2,Analog Communication,2024,118,A,,,
Explain phase shift method of SSB generation.,5,Analog Communication,2024,119,B,,,
What is Pulse width modulation? How are PWM and PPM correlated?,5,Analog Communication,2024,120,B,,,
What is amplitude modulation? Derive expression for amplitude modulated signal.,5,Analog Communication,2024,121,B,,,
Explain the working of a balanced slope detector. What are its limitations?,5,Analog Communication,2024,122,B,,,
Explain the operation of a square law detector.,5,Analog Communication,2024,123,B,,,
Discuss the receiver parameters of an amplitude receiver in detail.,10,Analog Communication,2024,124,C,,,
State the sampling theorem and discuss different types of sampling. Explain the reconstruction of the original signal.,10,Analog Communication,2024,125,C,,,
"Write short notes on any two: PLL (Phase Lock Loop), Armstrong method for generation of FM, TDM (Time Division Multiplexing).",10,Analog Communication,2024,126,C,,,
Explain engineering economics?,2,Economics,2024,127,A,,,
Differentiate microeconomics and macroeconomics.,2,Economics,2024,128,A,,,
Explain factors affecting supply?,2,Economics,2024,129,A,,,
Define marginal cost?,2,Economics,2024,130,A,,,
What is economic efficiency?,2,Economics,2024,131,A,,,
Explain inflation.,2,Economics,2024,132,A,,,
Explain the concept of demand?,2,Economics,2024,133,A,,,
Write conditions for perfect competition?,2,Economics,2024,134,A,,,
Describe marginal revenue.,2,Economics,2024,135,A,,,
Explain features of monopolistic competition.,2,Economics,2024,136,A,,,
How is engineering economics different from economics?,5,Economics,2024,137,B,,,
Explain the concept of break-even analysis with a clear diagram.,5,Economics,2024,138,B,,,
Write a detailed note on demand and supply equilibrium with a diagram.,5,Economics,2024,139,B,,,
Explain how price determination is done under perfect competition.,5,Economics,2024,140,B,,,
Explain briefly various factors affecting elasticity of demand.,5,Economics,2024,141,B,,,
How does cost affect the economy? Explain the concept of fixed cost and variable cost.,10,Economics,2024,142,C,,,
Explain the nature and scope of business economics.,10,Economics,2024,143,C,,,
Explain the meaning and features of oligopoly and identify its characteristics.,10,Economics,2024,144,C,,,
What are the characteristics of a dual op-amp?,2,Analog Circuits,2024,145,A,,,
Define CMRR.,2,Analog Circuits,2024,146,A,,,
What are the requirements for oscillators?,2,Analog Circuits,2024,147,A,,,
Find the output when 5 V is applied at the non-inverting input of 741 in open-loop configuration.,2,Analog Circuits,2024,148,A,,,
Why are coupling capacitors used?,2,Analog Circuits,2024,149,A,,,
Give the operating principle of a Wien bridge oscillator.,2,Analog Circuits,2024,150,A,,,
What is meant by balanced and unbalanced output in a differential amplifier?,2,Analog Circuits,2024,151,A,,,
Why do amplifiers use negative feedback?,2,Analog Circuits,2024,152,A,,,
Discuss the application of a diode as a clipper circuit.,2,Analog Circuits,2024,153,A,,,
What are the advantages of flash type ADC?,2,Analog Circuits,2024,154,A,,,
Discuss the working of a half-wave rectifier.,5,Analog Circuits,2024,155,B,,,
Explain the working of a sanity filter and determine thresholds.,5,Analog Circuits,2024,156,B,,,
Draw the circuit diagram for Class A SS and explain its working.,5,Analog Circuits,2024,157,B,,,
Calculate the gain of an inverting amplifier with feedback and draw input/output waveforms.,5,Analog Circuits,2024,158,B,,,
Discuss the working of a current mirror circuit.,5,Analog Circuits,2024,159,B,,,
(a) Explain the working of dual slope ADC. (b) Determine voltage gain and input resistance under given conditions.,10,Analog Circuits,2024,160,C,,,
(a) Design a low pass filter with a specified cut-off frequency. (b) Discuss the working of a phase shift oscillator.,10,Analog Circuits,2024,161,C,,,
Discuss gain and phase margins. How does feedback affect gain and input resistance?,10,Analog Circuits,2024,162,C,,,
"A 100 Ω strain gauge with a gauge factor of 1 is affixed to a metal bar. The bar is stretched, causing a change in resistance of 0.001 Ω. Find the change in length if the original length is 10 cm.",2,Electronics Measurement,2024,163,A,,,
What is systematic error? List its types.,2,Electronics Measurement,2024,164,A,,,
Compare landline and RF telemetry.,2,Electronics Measurement,2024,165,A,,,
What is a spectrum analyzer?,2,Electronics Measurement,2024,166,A,,,
What is the working principle of a photovoltaic cell?,2,Electronics Measurement,2024,167,A,,,
Compare LED with LCD.,2,Electronics Measurement,2024,168,A,,,
Compare analog voltmeter with digital voltmeter.,2,Electronics Measurement,2024,169,A,,,
Why and which compensation circuits are used with thermocouples?,2,Electronics Measurement,2024,170,A,,,
What is sensitivity?,2,Electronics Measurement,2024,171,A,,,
Write the importance of range extension.,2,Electronics Measurement,2024,172,A,,,
Explain the working of a ramp-type digital voltmeter.,5,Electronics Measurement,2024,173,B,,,
Discuss the working principle of LVDT (Linear Variable Differential Transformer).,5,Electronics Measurement,2024,174,B,,,
"Discuss accuracy, precision, linearity, and loading effect briefly.",5,Electronics Measurement,2024,175,B,,,
Discuss the working of a function generator with a block diagram.,5,Electronics Measurement,2024,176,B,,,
Derive the balance equation for Schering bridges.,5,Electronics Measurement,2024,177,B,,,
Explain the working of a CRO (Cathode Ray Oscilloscope) in detail. How can frequency and phase be measured?,10,Electronics Measurement,2024,178,C,,,
(a) Discuss the working principle of attraction in moving iron. (b) Explain the working of a harmonic distortion analyzer.,10,Electronics Measurement,2024,179,C,,,
"Write notes on any two: Strain gauge, Magnetic Tape Recorders, Telemetry.",10,Electronics Measurement,2024,180,C,,,
Show that the TMo mode in a rectangular waveguide does not exist.,2,Electromagnetic Waves,2024,181,A,,,
What is the relation between aperture and gain of antenna?,2,Electromagnetic Waves,2024,182,A,,,
What are the boundary conditions at media interface?,2,Electromagnetic Waves,2024,183,A,,,
"EM waves are called guided waves? True or false, justify your answer.",2,Electromagnetic Waves,2024,184,A,,,
The attenuation constant is 0.5 units. Then calculate skin depth.,2,Electromagnetic Waves,2024,185,A,,,
What is meant by characteristic impedance of transmission line?,2,Electromagnetic Waves,2024,186,A,,,
Calculate the radiation resistance of an antenna which is drawing 15 amp current and radiating power.,2,Electromagnetic Waves,2024,187,A,,,
What is Brewster reflection?,2,Electromagnetic Waves,2024,188,A,,,
Define the dominant and degenerate modes with examples.,2,Electromagnetic Waves,2024,189,A,,,
What is phase velocity in free space and dielectric medium with loss?,2,Electromagnetic Waves,2024,190,A,,,
Write and explain Maxwell’s equation for static fields.,5,Electromagnetic Waves,2024,191,B,,,
"A lossless transmission line of characteristic impedance 60 ohms is connected to a load. If the standing wave ratio on the line is 4, calculate the load impedance.",5,Electromagnetic Waves,2024,192,B,,,
"What are TE, TM and TEM mode waves? Derive an expression for the TE mode propagating in a hollow rectangular waveguide.",5,Electromagnetic Waves,2024,193,B,,,
Explain the basic laws of electromagnetic waves.,5,Electromagnetic Waves,2024,194,B,,,
"Given A=x^2y + (x-y)k, B=zx, find Curl A, Div B and explain the physical significance of Curl and Divergence.",5,Electromagnetic Waves,2024,195,B,,,
"For reflection by a perfect insulator with oblique incidence, derive the strength to incidental field strength ratio for vertical polarization.",10,Electromagnetic Waves,2024,196,C,,,
What are the fundamental parameters of impedance and reflection coefficient?,10,Electromagnetic Waves,2024,197,C,,,
What is meant by the term modulation?,2,Analog Communication,2024,198,A,,,
What is the advantage of vestigial side band over SSB?,2,Analog Communication,2024,199,A,,,
What is double spotting?,2,Analog Communication,2024,200,A,,,
Define pre-emphasis and de-emphasis.,2,Analog Communication,2024,201,A,,,
What do you mean by image rejection ratio?,2,Analog Communication,2024,202,A,,,
Why is the local oscillator frequency always higher than the signal frequency?,2,Analog Communication,2024,203,A,,,
What is the function of AGC in AM receivers?,2,Analog Communication,2024,204,A,,,
Which is more immune to noise: AM or FM and why?,2,Analog Communication,2024,205,A,,,
Explain how a constant intermediate frequency is achieved in super heterodyne receivers.,2,Analog Communication,2024,206,A,,,
State the sampling theorem.,2,Analog Communication,2024,207,A,,,
Explain Ring modulator.,5,Analog Communication,2024,208,B,,,
Discuss basic elements of AM super heterodyne receivers.,5,Analog Communication,2024,209,B,,,
Describe Foster Seeley discriminator.,5,Analog Communication,2024,210,B,,,
Draw and explain the block diagram of a typical AM transmitter.,5,Analog Communication,2024,211,B,,,
Discuss Pulse Position Modulation and its applications.,5,Analog Communication,2024,212,B,,,
What is noise? Discuss various types of noise and their characteristics.,10,Analog Communication,2024,213,C,,,
Discuss the third method of SSB generation/suppression and its various advantages and disadvantages.,10,Analog Communication,2024,214,C,,,
"Write short notes on:
(a) AM
(b) Time Division Multiplexing.",10,Analog Communication,2024,215,C,,,
What are different types of classes in IPv4 addressing?,2,Computer Networks,2024,216,A,,,
What do you understand by Physical and Logical Addressing?,2,Computer Networks,2024,217,A,,,
Write the difference between Hub and Switch.,2,Computer Networks,2024,218,A,,,
What are the responsibilities of the Transport Layer?,2,Computer Networks,2024,219,A,,,
What are its disadvantages?,2,Computer Networks,2024,220,A,,,
Compare virtual Circuits and datagrams.,2,Computer Networks,2024,221,A,,,
What are the functions of MAC?,2,Computer Networks,2024,222,A,,,
What is flooding?,2,Computer Networks,2024,223,A,,,
Discuss the use of Broadcast and Multicast routing.,2,Computer Networks,2024,224,A,,,
Illustrate the shortest path routing algorithm with a suitable example.,5,Computer Networks,2024,225,B,,,
What is ALOHA? Explain its types.,5,Computer Networks,2024,226,B,,,
What is meant by TCP? Give an overview of the different protocols used to transfer a file.,5,Computer Networks,2024,227,B,,,
Identify the layers in OSI model and their functions.,5,Computer Networks,2024,228,B,,,
Give the format of TCP header and explain how a connection is established.,5,Computer Networks,2024,229,B,,,
"Write notes on any two:
(a) Hub
(b) Resource Allocation in Packet Switching.",10,Computer Networks,2024,230,C,,,
identify the layers in OSI Refrence model and illustrate their function .,10,Computer Networks,2024,231,C,,,
Give format of TCP header and discuss the relevance of various field .how transport layer connection is established in TCP? illustrate with state diagram.,10,Computer Networks,2024,232,C,,,
"What is the use of MOV B,M in 8085?",2,Microprocessors & Microcontrollers,2024,233,A,,,
What is the dual role of Port 2 in 8051?,2,Microprocessors & Microcontrollers,2024,234,A,,,
Differentiate between MOVC and MOVX instruction of 8051.,2,Microprocessors & Microcontrollers,2024,235,A,,,
What is the use of timer/counter in 8051?,2,Microprocessors & Microcontrollers,2024,236,A,,,
Name and explain any two single bit instructions of 8051.,2,Microprocessors & Microcontrollers,2024,237,A,,,
Which port of 8051 is dedicated to be used for I/O operations only?,2,Microprocessors & Microcontrollers,2024,238,A,,,
What is the use of an ADC?,2,Microprocessors & Microcontrollers,2024,239,A,,,
Differentiate between a microprocessor and microcontroller.,2,Microprocessors & Microcontrollers,2024,240,A,,,
Name two arithmetic instructions of 8051.,2,Microprocessors & Microcontrollers,2024,241,A,,,
What is the use of DPTR in 8051?,2,Microprocessors & Microcontrollers,2024,242,A,,,
What do you mean by an interrupt? Discuss the interrupt structure of 8085.,5,Microprocessors & Microcontrollers,2024,243,B,,,
What is PSW of 8051? Discuss its use with suitable examples.,5,Microprocessors & Microcontrollers,2024,244,B,,,
What do you mean by an addressing mode? Discuss addressing modes of 8051 with examples.,5,Microprocessors & Microcontrollers,2024,245,B,,,
"Write an assembly language program to sort a series of ten bytes in ascending order, starting from 3070h onwards.",5,Microprocessors & Microcontrollers,2024,246,B,,,
What is the need for demultiplexing? Explain address-data demultiplexing of 8085 with a suitable diagram.,5,Microprocessors & Microcontrollers,2024,247,B,,,
Discuss the architecture of 8085 with a suitable block diagram. Discuss the use of each part.,10,Microprocessors & Microcontrollers,2024,248,C,,,
Discuss the interfacing of the 2x16 LCD with 8051 with the help of a circuit diagram.,10,Microprocessors & Microcontrollers,2024,249,C,,,
Write a program to display 'HELLO' on the first line of the LCD.,10,Microprocessors & Microcontrollers,2024,250,C,,,
Write a technical note on the following: a) Interfacing of DAC with 8051 b) Flags of 8085.,10,Microprocessors & Microcontrollers,2024,251,C,,,
Compare the microstrip antenna and conventional pole antenna.,2,Antenna and Propagation,2024,252,A,,,
What do you understand by retarded current?,2,Antenna and Propagation,2024,253,A,,,
What is Babinet’s principle?,2,Antenna and Propagation,2024,254,A,,,
At what distance from the dipole is the induction field equal to the radiation field?,2,Antenna and Propagation,2024,255,A,,,
Calculate the radiation resistance of an antenna which is drawing 15 amp current and radiating power of KW.,2,Antenna and Propagation,2024,256,A,,,
How is Huygens’ principle applied on antennas?,2,Antenna and Propagation,2024,257,A,,,
Define folded dipole. Compare the Zin of folded dipole with conventional dipole.,2,Antenna and Propagation,2024,258,A,,,
What is the significance of Helical structure in helical antenna?,2,Antenna and Propagation,2024,259,A,,,
What is the radiation resistance of a half wave dipole?,2,Antenna and Propagation,2024,260,A,,,
Distinguish between far field and near field.,2,Antenna and Propagation,2024,261,A,,,
Explain radiation from sectoral and pyramidal horns.,5,Antenna and Propagation,2024,262,B,,,
"Explain the concept of radiation from single wire, two wire and dipole antenna.",5,Antenna and Propagation,2024,263,B,,,
"Explain Directivity, Effective area, Power gain, and radiation resistance of antenna with expressions.",5,Antenna and Propagation,2024,264,B,,,
"Calculate the gain, FNBW and HPBW of parabolic reflector antenna operating at 10 GHz with a diameter of 6 ft.",5,Antenna and Propagation,2024,265,B,,,
Derive the equations for radiation from infinitesimal dipole.,5,Antenna and Propagation,2024,266,B,,,
"With a suitable diagram, discuss the construction and operation of a Yagi antenna.",10,Antenna and Propagation,2024,267,C,,,
What is an antenna array? Explain the behavior of broadside and end-fire antenna arrays.,10,Antenna and Propagation,2024,268,C,,,
Write a short note on: a) Smart Antenna b) Basic characteristics of microstrip antennas and its feeding methods.,10,Antenna and Propagation,2024,269,C,,,
Define unit ramp function and give its graphical representation.,2,Signals & Systems,2024,270,A,,,
Differentiate between causal and anti-causal systems.,2,Signals & Systems,2024,271,A,,,
Draw the block diagram for the system represented by the following difference equation.,2,Signals & Systems,2024,272,A,,,
Define Fourier transform for a function.,2,Signals & Systems,2024,273,A,,,
Find Z-Transform of f(n) = 2^n u(n-1) + (3)^n u(-n).,2,Signals & Systems,2024,274,A,,,
Explain convolution integral and convolution sum.,2,Signals & Systems,2024,275,A,,,
Differentiate between even and odd signals.,2,Signals & Systems,2024,276,A,,,
"Check whether the following signals are energy signals or power signals: (a) f(t) = u(t), (b) f(t) = sin(t).",5,Signals & Systems,2024,277,B,,,
Explain Sampling Theorem for Low Pass and Band Pass Signals.,5,Signals & Systems,2024,278,B,,,
"Find Fourier Transform of the following: (a) f(t) = sgn(t), (b) f(t) = 4 sin(2πf0t).",10,Signals & Systems,2024,279,C,,,
"With the help of an example, elaborate various methods of finding convolution.",10,Signals & Systems,2024,280,C,,,
What is a microstrip line?,2,Microwave Theory and Techniques,2024,281,A,,,
What are ferrites? Why are they used in microwave areas?,2,Microwave Theory and Techniques,2024,282,A,,,
What are the modes of working of a GUNN diode?,2,Microwave Theory and Techniques,2024,283,A,,,
Why can't TEM waves be propagated in waveguides?,2,Microwave Theory and Techniques,2024,284,A,,,
What is the cutoff field in a magnetron?,2,Microwave Theory and Techniques,2024,285,A,,,
List out the similarities and dissimilarities of microwave transmission lines and waveguides.,2,Microwave Theory and Techniques,2024,286,A,,,
What are microwaves? What is the frequency range of X Band?,2,Microwave Theory and Techniques,2024,287,A,,,
What is the effect of microwaves on the human body?,2,Microwave Theory and Techniques,2024,288,A,,,
What are Monolithic Microwave ICs?,2,Microwave Theory and Techniques,2024,289,A,,,
What is RADAR?,2,Microwave Theory and Techniques,2024,290,A,,,
Explain the principle of operation of a reflex klystron with suitable diagrams.,5,Microwave Theory and Techniques,2024,291,B,,,
What is a dominant mode in a rectangular waveguide? Derive field equations of TE10 in a rectangular waveguide.,5,Microwave Theory and Techniques,2024,292,B,,,
Consider a three-port circulator with an insertion loss of 0.5 dB and isolation of 35 dB. Find the scattering matrix. Given VSWR = 1.,5,Microwave Theory and Techniques,2024,293,B,,,
Draw the V-I characteristics of a tunnel diode and explain how it can be used as an amplifier.,5,Microwave Theory and Techniques,2024,294,B,,,
Explain a 4-port circulator with a diagram and write its scattering matrix.,5,Microwave Theory and Techniques,2024,295,B,,,
Discuss the measurement of power and frequency of microwave.,10,Microwave Theory and Techniques,2024,296,C,,,
Explain medical and civil applications of microwaves and discuss interference and Electromagnetic Compatibility (EMI & EMC).,10,Microwave Theory and Techniques,2024,297,C,,,
What is avalanche transit time effect? Explain the basic construction of an IMPATT device.,10,Microwave Theory and Techniques,2024,298,C,,,
Write the scattering matrix of a directional coupler and discuss coupling factor and directivity.,10,Microwave Theory and Techniques,2024,299,C,,,
Explain Mesh analysis.,2,Network Analysis & Synthesis,2024,300,A,,,
What are the merits of active filters over passive filters?,2,Network Analysis & Synthesis,2024,301,A,,,
Write the statement of Reciprocity theorem.,2,Network Analysis & Synthesis,2024,302,A,,,
Explain the superposition theorem.,2,Network Analysis & Synthesis,2024,303,A,,,
State the properties of a Hurwitz Polynomial.,2,Network Analysis & Synthesis,2024,304,A,,,
What is a composite filter?,2,Network Analysis & Synthesis,2024,305,A,,,
What are the necessary conditions for transfer function?,2,Network Analysis & Synthesis,2024,306,A,,,
What is the significance of poles and zeros?,2,Network Analysis & Synthesis,2024,307,A,,,
Explain the condition for transfer of maximum power in a network.,2,Network Analysis & Synthesis,2024,308,A,,,
List the types of m-derived filters.,2,Network Analysis & Synthesis,2024,309,A,,,
State and explain Norton’s theorem as applied to electric circuits.,5,Network Analysis & Synthesis,2024,310,B,,,
"Explain step function and ramp function, and impulse function.",5,Network Analysis & Synthesis,2024,311,B,,,
Derive the equation for the transient response of an RLC series circuit to sinusoidal input.,5,Network Analysis & Synthesis,2024,312,B,,,
Explain nodal analysis and the steps for applying nodal analysis.,5,Network Analysis & Synthesis,2024,313,B,,,
Transform the following current function into a pole-zero plot: I(s) = s(5 + hs)/(s^2 + 8s + 15).,5,Network Analysis & Synthesis,2024,314,B,,,
Explain Laplace transformations and its application in network analysis.,10,Network Analysis & Synthesis,2024,315,C,,,
"Give a classification of filters. Compare low pass, high pass, band pass, and band stop filters.",10,Network Analysis & Synthesis,2024,316,C,,,
Design the T and π sections of m-derived high pass filters having cut-off frequency of 1 KHz and frequency of infinite attenuation of 2.7 KHz.,10,Network Analysis & Synthesis,2024,317,C,,,
Explain engineering economics?,2,Economics for Engineers,2024,318,A,2,,
Differentiate microeconomics and macroeconomics.,2,Economics for Engineers,2024,319,A,2,,
